G_i	FamilyOrComplex
G_i_alpha	FamilyOrComplex
GJ	FamilyOrComplex
GLRA_GLRB	FamilyOrComplex
Glycosyltransferase	FamilyOrComplex
GPCR	FamilyOrComplex
GPIb_IX_V	FamilyOrComplex
GPIT	FamilyOrComplex
G_protein	FamilyOrComplex
GPX	FamilyOrComplex
G_q	FamilyOrComplex
G_q_alpha	FamilyOrComplex
GRI	FamilyOrComplex
GRIA	FamilyOrComplex
GRID	FamilyOrComplex
GRIN	FamilyOrComplex
GRK	FamilyOrComplex
GRM	FamilyOrComplex
G_s	FamilyOrComplex
G_s_alpha	FamilyOrComplex
GSK3	FamilyOrComplex
GST	FamilyOrComplex
GTF2E	FamilyOrComplex
GTF2F	FamilyOrComplex
GTF_family_2	FamilyOrComplex
GTF_family_29	FamilyOrComplex
GTF_family_6	FamilyOrComplex
GTF_family_8	FamilyOrComplex
GTF_family_90	FamilyOrComplex
GTPase	FamilyOrComplex
GUCY	FamilyOrComplex
GUCY1A	FamilyOrComplex
GUCY1B	FamilyOrComplex
GYS	FamilyOrComplex
hCG	FamilyOrComplex
HDAC	FamilyOrComplex
HDAC_I	FamilyOrComplex
HDAC_II	FamilyOrComplex
HDAC_III	FamilyOrComplex
HDAC_IV	FamilyOrComplex
HDL	FamilyOrComplex
Hedgehog	FamilyOrComplex
Hemoglobin	FamilyOrComplex
HES	FamilyOrComplex
HIF	FamilyOrComplex
HIF1	FamilyOrComplex
HIF_alpha	FamilyOrComplex
HIF_beta	FamilyOrComplex
Histone	FamilyOrComplex
Histone_H1	FamilyOrComplex
Histone_H2A	FamilyOrComplex
Histone_H2B	FamilyOrComplex
Histone_H3	FamilyOrComplex
Histone_H4	FamilyOrComplex
HLA_DR	FamilyOrComplex
HMOX	FamilyOrComplex
HSP90	FamilyOrComplex
HSP90A	FamilyOrComplex
HSP90AA	FamilyOrComplex
HSPA	FamilyOrComplex
HSPB	FamilyOrComplex
HVCN	FamilyOrComplex
IFNA	FamilyOrComplex
IFNB	FamilyOrComplex
IGFBP	FamilyOrComplex
IKB	FamilyOrComplex
IKK_complex	FamilyOrComplex
IKK_family	FamilyOrComplex
IL1	FamilyOrComplex
IL12	FamilyOrComplex
IL15R	FamilyOrComplex
IL2R	FamilyOrComplex
Inhibin	FamilyOrComplex
Inhibin_A	FamilyOrComplex
Inhibin_B	FamilyOrComplex
INS	FamilyOrComplex
INSR	FamilyOrComplex
Integrins	FamilyOrComplex
Interferon	FamilyOrComplex
Interferon_gamma_receptor	FamilyOrComplex
IRS	FamilyOrComplex
IRX	FamilyOrComplex
ITPR	FamilyOrComplex
JAK	FamilyOrComplex
JNK	FamilyOrComplex
JUN_family	FamilyOrComplex
Kainate_family	FamilyOrComplex
KCN	FamilyOrComplex
KCNH	FamilyOrComplex
KCNJ	FamilyOrComplex
KCNK	FamilyOrComplex
KCNT	FamilyOrComplex
Kinesin	FamilyOrComplex
Kinetochore	FamilyOrComplex
KLK	FamilyOrComplex
KSR	FamilyOrComplex
Laminin_111	FamilyOrComplex
Laminin_332	FamilyOrComplex
LDH	FamilyOrComplex
LH	FamilyOrComplex
Ligand_gated_ion_channels	FamilyOrComplex
LPAR	FamilyOrComplex
LRRC8	FamilyOrComplex
LXR	FamilyOrComplex
MAC	FamilyOrComplex
Macrophage_inflammatory_proteins	FamilyOrComplex
MAF	FamilyOrComplex
MAP1LC3	FamilyOrComplex
MAP2K	FamilyOrComplex
MAP3K	FamilyOrComplex
MAPK	FamilyOrComplex
MCM	FamilyOrComplex
MED	FamilyOrComplex
MEF2	FamilyOrComplex
MEK	FamilyOrComplex
Metallothionein	FamilyOrComplex
MGAT	FamilyOrComplex
Mitochondrial_Ribosome	FamilyOrComplex
MKNK	FamilyOrComplex
MMP	FamilyOrComplex
MOB	FamilyOrComplex
MRPL	FamilyOrComplex
MRPS	FamilyOrComplex
mTORC1	FamilyOrComplex
mTORC2	FamilyOrComplex
MYH	FamilyOrComplex
MYL	FamilyOrComplex
MYL_alkali	FamilyOrComplex
MYL_regulatory	FamilyOrComplex
MYL_slow	FamilyOrComplex
MYO1	FamilyOrComplex
MYO3	FamilyOrComplex
MYO5	FamilyOrComplex
MYO7	FamilyOrComplex
MYO9	FamilyOrComplex
MYO15	FamilyOrComplex
MYO18	FamilyOrComplex
Myosin_family	FamilyOrComplex
Myosin_complex	FamilyOrComplex
MYST	FamilyOrComplex
NADH_dehydrogenase	FamilyOrComplex
NADPH_oxidase	FamilyOrComplex
Na_K_ATPase	FamilyOrComplex
Natriuretic_peptide	FamilyOrComplex
NCOA	FamilyOrComplex
NCOR	FamilyOrComplex
NDRG	FamilyOrComplex
Neurexins	FamilyOrComplex
Neuropeptides	FamilyOrComplex
NFAT	FamilyOrComplex
NFE	FamilyOrComplex
NFkappaB	FamilyOrComplex
NFkappaB_1	FamilyOrComplex
NFkappaB_2	FamilyOrComplex
NFY	FamilyOrComplex
NKD	FamilyOrComplex
NOS	FamilyOrComplex
Notch	FamilyOrComplex
Neuropeptide_receptor	FamilyOrComplex
NPBWR	FamilyOrComplex
NPFFR	FamilyOrComplex
NPYR	FamilyOrComplex
NRG	FamilyOrComplex
NRG_1_2	FamilyOrComplex
NRG_3_4	FamilyOrComplex
NTRK	FamilyOrComplex
OGT_family	FamilyOrComplex
OR	FamilyOrComplex
OR1	FamilyOrComplex
OR10	FamilyOrComplex
OR11	FamilyOrComplex
OR12	FamilyOrComplex
OR13	FamilyOrComplex
OR14	FamilyOrComplex
OR2	FamilyOrComplex
OR3	FamilyOrComplex
OR4	FamilyOrComplex
OR5	FamilyOrComplex
OR51	FamilyOrComplex
OR52	FamilyOrComplex
OR56	FamilyOrComplex
OR6	FamilyOrComplex
OR7	FamilyOrComplex
OR8	FamilyOrComplex
OR9	FamilyOrComplex
p14_3_3	FamilyOrComplex
P2R	FamilyOrComplex
P2RX	FamilyOrComplex
P2RY	FamilyOrComplex
p38	FamilyOrComplex
p53_family	FamilyOrComplex
P70S6K	FamilyOrComplex
P90RSK	FamilyOrComplex
PAK	FamilyOrComplex
PARP	FamilyOrComplex
PARV	FamilyOrComplex
Patched	FamilyOrComplex
PBX	FamilyOrComplex
PDE	FamilyOrComplex
PDE1	FamilyOrComplex
PDE3	FamilyOrComplex
PDE4	FamilyOrComplex
PDE6	FamilyOrComplex
PDE7	FamilyOrComplex
PDE8	FamilyOrComplex
PDGF	FamilyOrComplex
PDGF_AA	FamilyOrComplex
