CELA2B,29995
CELA3A,15944
CELA3B,15945
CENPC,1854
CENPE,1856
CENPF,1857
CENPH,17268
CES1,1863
CES2,1864
CES3,1865
CES4A,26741
CES5A,26459
CFL1,1874
CFL2,1875
CGA,1885
CGB3,1886
CHAD,1909
CHEK1,1925
CHEK2,16627
CHPF,24291
CHPF2,29270
CHRM1,1950
CHRM2,1951
CHRM3,1952
CHRM4,1953
CHRM5,1954
CHRNA2,1956
CHRNA3,1957
CHRNA4,1958
CHRNA5,1959
CHRNA6,15963
CHRNA7,1960
CHRNB2,1962
CHRNB3,1963
CHRNB4,1964
CHSY1,17198
CHSY3,24293
CHUK,1974
CLINT1,23186
CLTA,2090
CLTB,2091
CLTC,2092
CLU,2095
CNKSR1,19700
CNKSR2,19701
COL1A1,2197
COL1A2,2198
COL4A1,2202
COL4A2,2203
COL4A3,2204
COL4A4,2206
COL4A5,2207
COL4A6,2208
COL5A1,2209
COL5A2,2210
COL5A3,14864
COLGALT1,26182
COLGALT2,16790
COMP,2227
COX10,2260
COX11,2261
COX15,2263
COX17,2264
COX4I1,2265
COX4I2,16232
COX5A,2267
COX5B,2269
COX6A1,2277
COX6A2,2279
COX6B1,2280
COX6B2,24380
COX6C,2285
COX7A1,2287
COX7A2,2288
COX7B,2291
COX7B2,24381
COX7C,2292
COX8A,2294
COX8C,24382
CREB1,2345
CREB3,2347
CREB3L1,18856
CREB3L2,23720
CREB3L3,18855
CREB3L4,18854
CREB5,16844
CREM,2352
CRISP1,304
CRISP2,12024
CRISP3,16904
CRTC1,16062
CRTC2,27301
CRTC3,26148
CSGALNACT1,24290
CSGALNACT2,24292
CSNK1A1,2451
CSNK1A1L,20289
CSNK1D,2452
CSNK1E,2453
CSNK1G1,2454
CSNK1G2,2455
CSNK1G3,2456
CSNK2A1,2457
CSNK2A2,2459
CSNK2B,2460
CTNNA1,2509
CTNNA2,2510
CTNNA3,2511
CTRC,2523
CUL1,2551
CUL2,2552
CUL3,2553
CUL4A,2554
CUL4B,2555
CUL5,2556
CUL7,21024
CWC27,10664
CX3CR1,2558
CXCL1,4602
CXCL10,10637
CXCL11,10638
CXCL12,10672
CXCL13,10639
CXCL14,10640
CXCL2,4603
CXCL3,4604
CXCL5,10642
CXCL6,10643
CXCL8,6025
CXCL9,7098
CXCR1,6026
CXCR2,6027
CXCR3,4540
CXCR4,2561
CXCR5,1060
CXCR6,16647
CYBA,2577
CYBB,2578
CYC1,2579
DAG1,2666
DAP3,2673
DBT,2698
DCN,2705
DCTN2,2712
DDR1,2730
DDR2,2731
DDX58,19102
DGKA,2849
DGKB,2850
DGKD,2851
DGKE,2852
DGKG,2853
DGKH,2854
DGKI,2855
DGKK,32395
DGKQ,2856
DGKZ,2857
DHH,2865
DHX58,29517
DLAT,2896
DLD,2898
DMD,2928
DNM1,2972
DNM2,2974
DNM3,29125
DPM1,3005
DRD1,3020
DRD2,3023
DRD3,3024
DRD4,3025
DRD5,3026
DSG1,3048
DSG2,3049
DSG3,3050
DSG4,21307
DSTN,15750
DTNA,3057
DTNB,3058
DUOX1,3062
DUOX2,13273
DUSP1,3064
DUSP2,3068
DUSP3,3069
DUSP4,3070
DUSP5,3071
DUSP6,3072
DVL1,3084
DVL2,3086
DVL3,3087
DYNC1H1,2961
DYNC1I1,2963
DYNC1I2,2964
DYNC1LI1,18745
DYNC1LI2,2966
DYNLL1,15476
DYNLRB1,15468
DYNLRB2,15467
DYRK1A,3091
DYRK1B,3092
DYRK2,3093
DYRK3,3094
DYRK4,3095
E2F1,3113
E2F2,3114
E2F3,3115
E2F4,3118
E2F5,3119
E2F6,3120
E2F7,23820
E2F8,24727
ECM2,3154
EDN1,3176
EDN2,3177
EDN3,3178
EED,3188
EGF,3229
EGFR,3236
EGR1,3238
EGR2,3239
EGR3,3240
EGR4,3241
EIF2B1,3257
EIF2B2,3258
EIF2B3,3259
EIF2B4,3260
EIF2B5,3261
EIF4A1,3282
EIF4A2,3284
EIF4A3,18683
EIF4E,3287
EIF4E2,3293
EIF4E3,31837
EIF4EBP1,3288
EIF4EBP2,3289
EIF4EBP3,3290
